,Profile Name,Duration,Title,Country,Type,Hour,Day,Month,Year,Device Category,tconst,titleType,primaryTitle,genres,averageRating,numVotes
4601,Home,0.1877777777777777,Dead To Me,TH (Thailand),TV Show,12,26,12,2022,Set Top Boxes,,,,,,
4602,Home,0.3036111111111111,Dead To Me,TH (Thailand),TV Show,15,25,12,2022,Set Top Boxes,,,,,,
4603,Home,0.5208333333333334,Dead To Me,TH (Thailand),TV Show,14,25,12,2022,Set Top Boxes,,,,,,
4604,Home,0.3447222222222222,Dead To Me,TH (Thailand),TV Show,14,25,12,2022,Set Top Boxes,,,,,,
4605,Home,0.1875,Dead To Me,TH (Thailand),TV Show,13,25,12,2022,Set Top Boxes,,,,,,
4606,Home,0.3111111111111111,Dead To Me,TH (Thailand),TV Show,13,25,12,2022,Set Top Boxes,,,,,,
4607,Home,0.1836111111111111,Dead To Me,TH (Thailand),TV Show,12,25,12,2022,Set Top Boxes,,,,,,
4608,Home,0.3758333333333333,Dead To Me,TH (Thailand),TV Show,11,25,12,2022,Set Top Boxes,,,,,,
4611,Home,0.1475,Dead To Me,TH (Thailand),TV Show,6,25,12,2022,Set Top Boxes,,,,,,
4612,Home,0.4705555555555555,Dead To Me,TH (Thailand),TV Show,5,25,12,2022,Set Top Boxes,,,,,,
4613,Home,0.1425,Dead To Me,TH (Thailand),TV Show,5,25,12,2022,Set Top Boxes,,,,,,
4615,Home,0.295,Dead To Me,TH (Thailand),TV Show,14,24,12,2022,Set Top Boxes,,,,,,
4616,Home,0.2711111111111111,Dead To Me,TH (Thailand),TV Show,14,24,12,2022,Set Top Boxes,,,,,,
4617,Home,0.2144444444444444,Dead To Me,TH (Thailand),TV Show,13,24,12,2022,Set Top Boxes,,,,,,
4618,Home,0.1155555555555555,Dead To Me,TH (Thailand),TV Show,13,24,12,2022,Set Top Boxes,,,,,,
4619,Home,0.3530555555555555,Dead To Me,TH (Thailand),TV Show,12,24,12,2022,Set Top Boxes,,,,,,
4620,Home,0.4711111111111111,Dead To Me,TH (Thailand),TV Show,12,24,12,2022,Set Top Boxes,,,,,,
4621,Home,0.4586111111111111,Dead To Me,TH (Thailand),TV Show,11,24,12,2022,Set Top Boxes,,,,,,
4623,Home,0.3086111111111111,Dead To Me,TH (Thailand),TV Show,13,22,12,2022,Set Top Boxes,,,,,,
4624,Home,0.5044444444444445,Dead To Me,TH (Thailand),TV Show,13,22,12,2022,Set Top Boxes,,,,,,
4625,Home,0.4458333333333333,Dead To Me,TH (Thailand),TV Show,12,22,12,2022,Set Top Boxes,,,,,,
4635,Home,0.5041666666666667,Dead To Me,TH (Thailand),TV Show,7,21,12,2022,Set Top Boxes,,,,,,
4636,Home,0.1783333333333333,Dead To Me,TH (Thailand),TV Show,15,8,12,2022,Set Top Boxes,,,,,,
4637,Home,0.1147222222222222,Dead To Me,TH (Thailand),TV Show,12,8,12,2022,Set Top Boxes,,,,,,
4638,Home,0.0922222222222222,Dead To Me,TH (Thailand),TV Show,16,7,12,2022,Set Top Boxes,,,,,,
4639,Home,0.2777777777777778,Dead To Me,TH (Thailand),TV Show,15,7,12,2022,Set Top Boxes,,,,,,
4640,Home,0.1536111111111111,Dead To Me,TH (Thailand),TV Show,14,7,12,2022,Set Top Boxes,,,,,,
4641,Home,0.2938888888888888,Dead To Me,TH (Thailand),TV Show,14,7,12,2022,Set Top Boxes,,,,,,
4642,Home,0.1275,Dead To Me,TH (Thailand),TV Show,12,7,12,2022,Set Top Boxes,,,,,,
4643,Home,0.4055555555555555,Dead To Me,TH (Thailand),TV Show,13,6,12,2022,Set Top Boxes,,,,,,
4644,Home,0.4177777777777778,Dead To Me,TH (Thailand),TV Show,23,5,12,2022,Set Top Boxes,,,,,,
4645,Home,0.34,Dead To Me,TH (Thailand),TV Show,23,5,12,2022,Set Top Boxes,,,,,,
4646,Home,0.1022222222222222,Dead To Me,TH (Thailand),TV Show,15,5,12,2022,Set Top Boxes,,,,,,
4647,Home,0.2261111111111111,Dead To Me,TH (Thailand),TV Show,15,5,12,2022,Set Top Boxes,,,,,,
4648,Home,0.235,Dead To Me,TH (Thailand),TV Show,13,5,12,2022,Set Top Boxes,,,,,,
4649,Home,0.4719444444444444,Dead To Me,TH (Thailand),TV Show,13,5,12,2022,Set Top Boxes,,,,,,
5572,Home,0.2925,Heaven Is For Real,TH (Thailand),Movie,7,9,10,2022,Set Top Boxes,,,,,,
6684,Home,0.0958333333333333,Back To 15,TH (Thailand),TV Show,13,22,9,2022,Set Top Boxes,,,,,,
